name,length,polarity,nominal pattern,nominal pattern color,ssith pattern,ssith pattern color,brake hack pattern,brake hack pattern color,throttle hack pattern,throttle hack pattern color,steering hack pattern,steering hack pattern color,transmission hack pattern,transmission hack pattern color,all off,all off color,all on,all on color
leds_trunk_1,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_2,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_abs_ctrl,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_3,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_transmission_ctrl_1,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_transmission_ctrl_2,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_brake_ctrl,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_electric_power_steer_ctrl,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_lane_keep_assist,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",on,"(60,0,0)",on,"(60,0,0)",pulse,"(255,0,0)",on,"(60,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_4,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
