name,length,polarity,nominal pattern,nominal pattern color,ssith pattern,ssith pattern color,brake hack pattern,brake hack pattern color,throttle hack pattern,throttle hack pattern color,steering hack pattern,steering hack pattern color,transmission hack pattern,transmission hack pattern color,all off,all off color,all on,all on color
leds_driver_side_front_brakes,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_steering_wheel_well,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_pedals,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",on,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_steering,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_b,64,reverse,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open1,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open2,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open3,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_branch4_steering,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",off,"(0, 0, 0)",off,"(0, 0, 0)",ants_reverse,"(255,0,0)",off,"(0, 0, 0)",off,"(0,0,0)",on,"(255,255,255)"
leds_branch3_esc,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
